,LinearSVC,KNN,SVC Predict,BaggingSVC,Random Forest
Atlanta Hawks,0.84,0.86,0.85,0.85,0.89
Boston Celtics,0.85,0.82,0.86,0.86,0.84
Cleveland Cavaliers,0.92,0.91,0.89,0.89,0.91
New Orleans Pelicans,0.77,0.72,0.73,0.73,0.69
Chicago Bulls,0.87,0.87,0.82,0.83,0.78
Dallas Mavericks,0.83,0.88,0.89,0.89,0.9
Denver Nuggets,0.91,0.89,0.92,0.92,0.86
Golden State Warriors,0.79,0.81,0.83,0.83,0.78
Houston Rockets,0.91,0.86,0.92,0.92,0.84
Los Angeles Clippers,0.86,0.88,0.82,0.82,0.88
Los Angeles Lakers,0.84,0.87,0.83,0.83,0.83
Miami Heat,0.82,0.88,0.85,0.85,0.82
Milwaukee Bucks,0.87,0.86,0.84,0.84,0.82
Minnesota Timberwolves,0.77,0.79,0.75,0.75,0.77
Brooklyn Nets,0.9,0.85,0.87,0.88,0.85
New York Knicks,0.89,0.88,0.89,0.89,0.83
Orlando Magic,0.82,0.8,0.84,0.84,0.84
Indiana Pacers,0.9,0.9,0.92,0.92,0.84
Philadelphia 76ers,0.84,0.86,0.86,0.86,0.87
Phoenix Suns,0.79,0.82,0.79,0.79,0.81
Portland Trail Blazers,0.84,0.83,0.85,0.83,0.82
Sacramento Kings,0.78,0.8,0.8,0.8,0.79
San Antonio Spurs,0.84,0.91,0.87,0.88,0.84
Oklahoma City Thunder,0.87,0.81,0.85,0.84,0.79
Toronto Raptors,0.83,0.89,0.83,0.83,0.85
Utah Jazz,0.87,0.9,0.94,0.94,0.9
Memphis Grizzlies,0.84,0.84,0.72,0.75,0.8
Washington Wizards,0.82,0.8,0.79,0.83,0.76
Detroit Pistons,0.86,0.83,0.79,0.79,0.8
Charlotte Hornets,0.83,0.82,0.86,0.84,0.81
